ADA,24430
ADAŠEVCI,22244
ADORJAN,24425
ADRANI,36203
ADROVAC,34210
ADŽINE LIVADE,34202
AKMAČIĆI,31320
ALABANA,18425
ALAKINCE,17530
ALDINA REKA,19353
ALDINAC,19350
ALEKSA ŠANTIĆ,25212
ALEKSANDROVAC,37230
ALEKSANDROVAC (BABUŠNICA),18330
ALEKSANDROVAC (NEGOTIN),19314
ALEKSANDROVAC (VRANJE),17521
ALEKSANDROVAC (ŽABARI),12370
ALEKSANDROVO,18252
ALEKSANDROVO,23217
ALEKSANDROVO,23219
ALEKSINAC,18220
ALEKSINAČKI BUJMIR,18220
ALEKSINAČKI RUDNIK,18226
ALEKSINE,16212
ALIBUNAR,26310
ALIĐERCE,17523
ALIN POTOK,31310
ALIVEROVIĆE,36312
ALULOVIĆE,36305
ALJINOVIĆI,31307
ALJUDOVO,12304
AMAJIĆ,15318
AMERIĆ,11406
AMZIĆI,31318
APATIN,25260
ARADAC,23207
ARANĐELOVAC,34300
ARAPOVAC,11562
ARAPOVIĆE,36307
ARBANASCE,18253
ARBANAŠKA,18409
ARILJE,31230
ARNAJEVO,11461
ASANOVAC,18406
AŠANJA,22418
ATENICA,32104
AZANJA,11423
AZBRESNICA,18258
BA,14245
BABAJIĆ,14240
BABE,11233
BABICA,18436
BABIČKO,16252
BABIN KAL,18310
BABIN POTOK,18400
BABINA LUKA,14201
BABINA POLJANA,17561
BABOTINAC,18404
BABUŠNICA,18330
BACE,18424
BACIJEVCE,17530
BAČ,21420
BAČEVCI,14203
BAČEVCI,31258
BAČEVICA,19370
BAČEVINA,16233
BAČEVO,18320
BAČIJA,36310
BAČINA,37265
BAČINAC,11407
BAČINCI,22225
BAČKA PALANKA,21400
BAČKA TOPOLA,24300
BAČKI BREG,25275
BAČKI BRESTOVAC,25242
BAČKI GRAČAC,25252
BAČKI JARAK,21234
BAČKI MONOŠTOR,25272
BAČKI PETROVAC,21470
BAČKI SOKOLAC,24343
BAČKI VINOGRADI,24415
BAČKO DOBRO POLJE,21465
BAČKO DUŠANOVO,24220
BAČKO GRADIŠTE,21217
BAČKO NOVO SELO,21429
BAČKO PETROVO SELO,21226
BAČVIŠTE,17512
BAĆEVAC,11460
BAĆICA,36307
BAĆOGLAVA,18430
BADANJ,36350
BADINCE,16000
BADLJEVICA,11432
BADNJEVAC,18414
BADNJEVAC,34226
BADOVINCI,15358
BAGAČIĆE,36310
BAGRDAN,35204
BAGREMOVO,24312
BAJČETINA,34230
BAJČINCE,18405
BAJEVAC,14223
BAJEVICA,36306
BAJINA BAŠTA,31250
BAJMOK,24210
